article;political_affiliation
Adolf_Hitler;Right
Andrew_Dickson_White;Right
Ariel_Sharon;Right
Armia_Krajowa;Right
Ayaan_Hirsi_Ali;Right
Barack_Obama;Left
Benito_Mussolini;Right
Benjamin_Disraeli,_1st_Earl_of_Beaconsfield;Center
Bill_Clinton;Left
Boyle_Roche;Center
Condoleezza_Rice;Right
Cyrus_K._Holliday;Center
Daniel_Ellsberg;Left
David_Blanchflower;Center
David_Cameron;Right
David_Heymann;Center
Earl_of_Shaftesbury;Left
Edmund_Burke;Right
Elizabeth_Fry;Left
Elizabeth_II_of_the_United_Kingdom;Right
Eva_Perón;Left
Fidel_Castro;Left
Frederick_Douglass;Left
Frederick_Hamilton-Temple-Blackwood,_1st_Marquese;Right
Gordon_Brown;Left
Haji_Mohammad_Suharto;Right
Harold_Macmillan;Right
Harold_Wilson;Left
Hirohito;Center
Ho_Chi_Minh;Left
Indira_Gandhi;Center
James_Callaghan;Left
James_Garfield;Center
John_Henninger_Reagan;Center
John_Howard;Right
John_Marshall;Center
John_W._Johnston;Center
Joseph_Stalin;Left
Karl_Marx;Left
Kofi_Annan;Center
Leon_Trotsky;Left
Louis_Freeh;Center
Mahatma_Gandhi;Left
Mahmoud_Abbas;Center
Mao_Zedong;Left
Margaret_Sanger;Left
Margaret_Thatcher;Right
Martin_Luther_King,_Jr.;Left
Mikhail_Gorbatchev;Left
Muhammad_Ali_Jinnah;Right
Nelson_Mandela;Left
Ollanta_Humala;Left
Osama_Bin_Laden;Right
Ralph_Nader;Left
Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury;Right
Robert_Owen;Left
Stanley_Baldwin;Center
Stephen_Harper;Right
Sun_Yat-sen;Left
Tony_Blair;Center
Vladimir_Lenin;Left
William_Ewart_Gladstone;Left
William_Howard_Taft;Right
William_Pitt_the_Younger;Right
Winston_Churchill;Right
Zachary_Taylor;Center
Zionism;Right
;
